birth_year,generation,country,education_level,occupation,employment_status,monthly_income_eur,age_first_job,months_to_first_job,housing_status,job_satisfaction,life_satisfaction,economic_anxiety
1983,Millennial,Poland,Medium,Healthcare,Unemployed,959.0,20,15,Own,4,10,9
1996,Millennial,Germany,Medium,Education,Employed,2381.0,20,10,Own,5,1,4
1973,Gen X,Sweden,High,Construction,Inactive,1821.0,25,30,With parents,1,10,3
1959,Baby Boomer,Germany,Low,Manufacturing,Employed,2312.0,23,32,Own,3,3,2
1987,Millennial,Germany,Medium,Manufacturing,Unemployed,2078.0,24,35,Own,5,6,4
1952,Baby Boomer,Poland,Low,Finance,Employed,1886.0,19,29,With parents,8,4,2
1965,Gen X,France,High,IT,Unemployed,1729.0,25,3,Rent,4,6,3
1983,Millennial,Italy,High,Unemployed,Employed,2843.0,16,24,Own,6,4,1
2002,Gen Z,Italy,Medium,IT,Employed,1864.0,20,33,Rent,4,9,7
1963,Baby Boomer,Czechia,Medium,Education,Employed,2180.0,19,16,With parents,5,8,6
1967,Gen X,Sweden,High,Finance,Employed,2367.0,20,32,Own,7,10,1
1955,Baby Boomer,Netherlands,Medium,Manufacturing,Employed,1548.0,26,29,With parents,8,6,9
1955,Baby Boomer,Sweden,Medium,Construction,Employed,2748.0,29,12,With parents,10,10,6
1968,Gen X,France,Medium,Construction,Employed,1337.0,24,11,With parents,10,8,5
1997,Gen Z,France,Medium,Unemployed,Inactive,2644.0,23,31,Own,8,7,1
1980,Gen X,Italy,Low,Construction,Employed,2562.0,26,22,With parents,7,5,10
1984,Millennial,Spain,High,Construction,Unemployed,2080.0,26,28,Rent,4,9,5
1968,Gen X,Germany,Medium,IT,Employed,1215.0,26,33,With parents,4,4,2
1947,Baby Boomer,Germany,Low,Manufacturing,Employed,2206.0,23,18,Own,2,4,7
1966,Gen X,Italy,High,Construction,Employed,1271.0,23,11,Own,9,10,6
1997,Gen Z,Sweden,Medium,Manufacturing,Employed,2099.0,16,3,Own,6,9,4
1946,Baby Boomer,France,Low,Finance,Employed,2910.0,27,24,Rent,3,4,3
1968,Gen X,Sweden,Medium,IT,Employed,2186.0,22,25,Own,3,4,5
1988,Millennial,Netherlands,High,Healthcare,Employed,3329.0,28,17,Rent,1,8,3
1974,Gen X,Spain,High,Healthcare,Employed,2466.0,19,29,With parents,2,6,9
1982,Millennial,Italy,High,Finance,Employed,2896.0,21,33,Rent,5,7,6
1946,Baby Boomer,Germany,High,IT,Unemployed,2845.0,19,32,With parents,9,4,10
2004,Gen Z,Poland,Low,Unemployed,Unemployed,3466.0,27,30,With parents,3,1,2
1965,Gen X,Sweden,Medium,Education,Unemployed,1025.0,20,30,With parents,7,4,7
1977,Gen X,France,High,Retail,Inactive,1729.0,20,12,Own,6,4,8
1956,Baby Boomer,Poland,Medium,Finance,Employed,2225.0,16,23,Rent,3,2,9
2002,Gen Z,Netherlands,Medium,Manufacturing,Employed,2921.0,21,4,Own,4,8,4
1966,Gen X,Italy,Medium,Finance,Inactive,2352.0,25,0,Own,5,5,1
1988,Millennial,Sweden,Medium,Retail,Employed,2194.0,23,33,Rent,2,9,8
1969,Gen X,Germany,High,Unemployed,Unemployed,3127.0,28,8,With parents,8,5,10
1993,Millennial,Sweden,Medium,Finance,Employed,1896.0,20,7,Rent,7,4,1
1971,Gen X,Spain,Medium,IT,Employed,1854.0,29,35,Own,9,3,5
2003,Gen Z,Czechia,High,Manufacturing,Employed,2669.0,25,28,Rent,8,10,2
1986,Millennial,Poland,Medium,Retail,Inactive,4355.0,28,34,With parents,7,10,8
1972,Gen X,Spain,Low,Construction,Unemployed,2182.0,27,4,Own,9,1,5
2004,Gen Z,Netherlands,Medium,Healthcare,Inactive,1618.0,21,9,Rent,10,7,6
1960,Baby Boomer,Germany,High,Education,Employed,1690.0,20,9,With parents,5,9,7
1959,Baby Boomer,Poland,High,Finance,Employed,1871.0,16,10,Own,3,2,4
1991,Millennial,Netherlands,High,Finance,Employed,3393.0,20,7,Own,6,4,5
1995,Millennial,Spain,High,Retail,Inactive,1871.0,17,3,With parents,9,8,9
1988,Millennial,Spain,Medium,Education,Employed,2474.0,19,17,Rent,6,9,6
1999,Gen Z,Czechia,High,Finance,Employed,2117.0,17,19,With parents,3,9,8
1996,Millennial,Poland,High,Unemployed,Employed,1018.0,23,2,Own,2,6,4
2001,Gen Z,Germany,Low,Healthcare,Employed,1905.0,29,14,With parents,5,2,4
1947,Baby Boomer,Spain,Low,Retail,Employed,0.0,28,7,Own,8,1,8
1981,Millennial,Italy,High,IT,Employed,2358.0,28,5,With parents,8,4,3
1995,Millennial,Czechia,High,Manufacturing,Employed,2641.0,22,35,Rent,1,6,5
1951,Baby Boomer,Netherlands,High,Healthcare,Inactive,1439.0,24,19,With parents,3,2,3
1965,Gen X,Poland,High,Education,Employed,1712.0,19,31,Own,5,6,1
1953,Baby Boomer,France,Medium,Education,Employed,994.0,20,5,Rent,1,1,3
1983,Millennial,France,Medium,Healthcare,Employed,205.0,24,15,Own,6,6,6
1962,Baby Boomer,Germany,Medium,Construction,Inactive,844.0,24,1,Rent,4,5,6
1948,Baby Boomer,Italy,Low,IT,Employed,2787.0,17,17,Own,9,2,7
1969,Gen X,Spain,High,Finance,Employed,1917.0,27,25,Own,2,4,3
2004,Gen Z,France,Medium,IT,Employed,2388.0,26,19,Own,10,9,9
1958,Baby Boomer,Germany,Medium,Finance,Employed,4037.0,29,15,Rent,5,2,10
1994,Millennial,Netherlands,Medium,Finance,Inactive,3099.0,16,20,Own,5,5,9
2002,Gen Z,Czechia,Medium,Education,Inactive,2685.0,18,13,With parents,6,3,2
1953,Baby Boomer,Italy,Low,Finance,Employed,1764.0,25,17,Own,5,2,8
1970,Gen X,Italy,Medium,Healthcare,Employed,3603.0,16,7,Own,10,10,2
1997,Gen Z,Sweden,Low,Construction,Employed,3312.0,21,4,Rent,10,8,2
1946,Baby Boomer,Germany,Low,Finance,Employed,3004.0,23,23,Own,9,10,6
1964,Baby Boomer,Germany,High,Healthcare,Unemployed,2196.0,19,28,Own,1,9,8
1972,Gen X,Sweden,Low,Manufacturing,Employed,1368.0,26,8,Own,8,6,1
1991,Millennial,Czechia,Medium,Education,Employed,3566.0,19,17,Own,6,5,8
2004,Gen Z,Spain,Medium,Unemployed,Inactive,2983.0,26,17,Own,9,7,8
1951,Baby Boomer,Germany,Medium,IT,Employed,2017.0,25,27,With parents,10,3,4
1988,Millennial,Sweden,Low,Retail,Employed,1951.0,16,9,With parents,7,6,6
1952,Baby Boomer,Spain,High,IT,Employed,1101.0,24,19,Rent,3,7,2
1991,Millennial,Czechia,High,IT,Employed,2884.0,25,22,Rent,8,1,1
1979,Gen X,Spain,Low,Construction,Unemployed,2353.0,23,19,With parents,10,4,7
1958,Baby Boomer,Poland,Medium,Unemployed,Employed,2558.0,29,22,Rent,3,7,7
1961,Baby Boomer,Italy,High,Retail,Employed,3037.0,29,4,With parents,3,10,3
1980,Gen X,Netherlands,High,Construction,Employed,2850.0,28,26,With parents,4,6,3
1994,Millennial,Italy,Medium,Unemployed,Employed,1413.0,18,8,Rent,3,10,10
1984,Millennial,Italy,Low,Education,Inactive,2220.0,29,35,Rent,6,2,1
1948,Baby Boomer,Poland,Medium,Finance,Employed,2572.0,29,2,Own,7,8,1
1946,Baby Boomer,Spain,Medium,Manufacturing,Inactive,2639.0,18,35,With parents,3,7,2
1950,Baby Boomer,Spain,Low,IT,Inactive,769.0,28,34,With parents,3,2,10
1998,Gen Z,Germany,Medium,Construction,Inactive,1295.0,25,35,With parents,7,9,3
1986,Millennial,Poland,Medium,Finance,Inactive,2792.0,19,28,Rent,10,6,4
1948,Baby Boomer,Germany,Medium,IT,Employed,2778.0,19,32,With parents,9,2,8
1998,Gen Z,Poland,High,Education,Inactive,3649.0,17,25,With parents,3,5,5
1973,Gen X,Germany,High,Education,Employed,805.0,19,7,Rent,6,1,2
1962,Baby Boomer,France,Medium,Healthcare,Employed,3008.0,17,8,With parents,5,2,7
1970,Gen X,Sweden,High,Education,Employed,2539.0,26,21,With parents,8,9,8
1988,Millennial,Italy,Low,Unemployed,Employed,1254.0,26,4,Own,9,10,3
1978,Gen X,Italy,High,Education,Employed,609.0,22,35,Own,8,1,6
1954,Baby Boomer,Czechia,Low,IT,Employed,3047.0,20,31,Own,1,4,10
1980,Gen X,Netherlands,Low,Manufacturing,Employed,1315.0,22,29,With parents,7,9,8
1958,Baby Boomer,Sweden,Medium,Construction,Employed,1017.0,21,16,Own,8,4,10
1975,Gen X,Spain,Medium,IT,Employed,2608.0,17,29,Rent,5,10,6
1992,Millennial,Netherlands,High,Construction,Unemployed,2191.0,29,8,Own,4,1,10
1959,Baby Boomer,France,Medium,Finance,Employed,2717.0,27,3,Rent,7,5,6
1952,Baby Boomer,Czechia,Medium,Construction,Employed,2588.0,17,11,Rent,6,6,8
1958,Baby Boomer,Netherlands,Medium,Education,Employed,5211.0,16,34,Rent,2,1,1
1967,Gen X,Czechia,Medium,Healthcare,Employed,2851.0,28,19,With parents,9,8,2
2004,Gen Z,Italy,Medium,Manufacturing,Employed,2794.0,16,16,Rent,3,1,3
2001,Gen Z,Spain,Medium,Healthcare,Employed,1406.0,28,21,With parents,1,6,7
1984,Millennial,France,High,Retail,Employed,3606.0,20,6,Rent,3,9,1
1965,Gen X,Italy,High,Healthcare,Employed,1745.0,20,7,With parents,1,3,4
1960,Baby Boomer,Sweden,High,Unemployed,Employed,1381.0,22,8,Rent,10,5,3
1989,Millennial,Germany,Medium,Healthcare,Inactive,2010.0,16,5,Rent,7,1,8
1962,Baby Boomer,Poland,High,Finance,Employed,2596.0,20,18,With parents,6,1,7
1991,Millennial,France,Medium,Education,Unemployed,1784.0,17,21,Own,8,2,1
1997,Gen Z,Spain,Medium,Unemployed,Unemployed,1411.0,25,19,Rent,4,6,9
1968,Gen X,Czechia,Medium,Finance,Employed,1392.0,16,19,Rent,6,7,4
1970,Gen X,Netherlands,High,Education,Inactive,2385.0,22,26,Own,3,5,7
1969,Gen X,Sweden,High,Unemployed,Unemployed,2704.0,18,26,Rent,4,1,6
2004,Gen Z,Netherlands,High,Finance,Employed,2778.0,26,6,With parents,6,1,3
2004,Gen Z,France,High,Education,Employed,800.0,24,23,With parents,5,1,6
2004,Gen Z,Sweden,High,Unemployed,Employed,1452.0,20,7,Rent,2,3,7
1989,Millennial,Spain,High,Unemployed,Employed,3038.0,20,2,Rent,9,4,5
1985,Millennial,France,Medium,Unemployed,Employed,1818.0,20,10,With parents,2,8,10
1973,Gen X,Spain,Medium,Construction,Unemployed,2382.0,24,35,Own,8,9,4
1959,Baby Boomer,Netherlands,Medium,Education,Inactive,4564.0,28,1,Rent,5,5,6
1989,Millennial,Italy,Low,Unemployed,Employed,171.0,25,0,With parents,7,4,10
1945,Baby Boomer,Sweden,Medium,Education,Unemployed,2084.0,28,6,Own,6,10,8
1969,Gen X,Germany,Medium,Healthcare,Unemployed,2837.0,16,23,Rent,2,9,7
1951,Baby Boomer,Italy,Medium,Retail,Employed,1316.0,20,11,Rent,4,6,3
1953,Baby Boomer,Germany,High,Education,Employed,2079.0,25,7,Own,9,3,2
1968,Gen X,Netherlands,High,Retail,Employed,1120.0,21,12,Rent,7,7,10
1945,Baby Boomer,Czechia,Low,Retail,Unemployed,2720.0,24,5,Rent,1,9,5
1988,Millennial,Sweden,Medium,IT,Unemployed,1596.0,18,23,With parents,4,10,9
1952,Baby Boomer,Italy,Medium,IT,Employed,1812.0,16,23,Own,10,2,10
1968,Gen X,Italy,Medium,Manufacturing,Employed,3007.0,27,6,Rent,3,9,5
1955,Baby Boomer,France,High,Construction,Unemployed,2700.0,26,9,With parents,1,2,10
1995,Millennial,Poland,Medium,Unemployed,Unemployed,3076.0,26,29,Rent,5,5,1
1961,Baby Boomer,Netherlands,Medium,Unemployed,Employed,3782.0,23,23,With parents,9,1,9
1952,Baby Boomer,Spain,High,Unemployed,Employed,2266.0,24,26,Rent,4,2,2
1979,Gen X,Netherlands,High,Finance,Inactive,4105.0,27,29,Rent,2,7,2
1979,Gen X,Spain,Low,IT,Employed,2374.0,26,14,Rent,7,4,6
1977,Gen X,Sweden,High,Education,Employed,3386.0,21,1,Rent,8,7,3
2003,Gen Z,Spain,Medium,Retail,Unemployed,2174.0,20,7,Rent,2,4,5
1949,Baby Boomer,Czechia,Medium,Finance,Employed,2956.0,27,16,Own,10,1,5
1986,Millennial,Germany,Low,Unemployed,Inactive,1816.0,23,12,Own,9,6,3
1983,Millennial,Spain,Medium,Manufacturing,Employed,3405.0,27,17,Own,10,9,8
2002,Gen Z,Spain,Medium,Unemployed,Employed,3236.0,21,20,With parents,8,6,3
1985,Millennial,France,Medium,IT,Employed,2008.0,21,35,Own,4,7,6
1972,Gen X,Italy,Medium,Healthcare,Employed,2341.0,24,11,Rent,4,7,10
1951,Baby Boomer,Netherlands,High,Construction,Employed,1350.0,24,1,Rent,5,1,5
1953,Baby Boomer,Netherlands,Low,Finance,Employed,3037.0,16,19,Own,1,2,7
1952,Baby Boomer,Sweden,Low,Manufacturing,Employed,2957.0,27,22,With parents,7,1,6
1956,Baby Boomer,Sweden,High,Education,Inactive,1091.0,17,20,Rent,4,1,9
1978,Gen X,Czechia,Low,Finance,Employed,4154.0,16,30,With parents,1,8,2
1977,Gen X,Spain,High,Retail,Employed,2558.0,17,15,Rent,4,4,10
1992,Millennial,Poland,Medium,Education,Employed,1991.0,18,12,With parents,4,10,6
1999,Gen Z,Netherlands,Medium,Education,Employed,3279.0,28,3,With parents,1,8,10
1967,Gen X,Sweden,Low,Finance,Employed,1730.0,29,1,With parents,9,5,10
1968,Gen X,Spain,Low,Unemployed,Employed,3376.0,28,0,Rent,8,1,5
1981,Millennial,Sweden,Low,Healthcare,Inactive,1141.0,17,25,Rent,9,9,9
1979,Gen X,Czechia,Low,Healthcare,Employed,2000.0,21,29,Own,7,3,2
1988,Millennial,Germany,Medium,Unemployed,Employed,2121.0,19,19,With parents,5,7,8
1984,Millennial,Germany,Low,Finance,Employed,1710.0,20,24,With parents,7,7,7
