id_order_detail,order_id,product_id,quantity,id_product,name,supplier_id,category_id,unit,price,id,name_category,description
1,10248,11,12,11,Queso Cabrales,5,4,1 kg pkg.,21.0,4,Dairy Products,Cheeses
2,10248,42,10,42,Singaporean Hokkien Fried Mee,20,5,32 - 1 kg pkgs.,14.0,5,Grains/Cereals,"Breads, crackers, pasta, and cereal"
3,10248,72,5,72,Mozzarella di Giovanni,14,4,24 - 200 g pkgs.,34.8,4,Dairy Products,Cheeses
4,10249,14,9,14,Tofu,6,7,40 - 100 g pkgs.,23.25,7,Produce,Dried fruit and bean curd
5,10249,51,40,51,Manjimup Dried Apples,24,7,50 - 300 g pkgs.,53.0,7,Produce,Dried fruit and bean curd
6,10250,41,10,41,Jack's New England Clam Chowder,19,8,12 - 12 oz cans,9.65,8,Seafood,Seaweed and fish
7,10250,51,35,51,Manjimup Dried Apples,24,7,50 - 300 g pkgs.,53.0,7,Produce,Dried fruit and bean curd
8,10250,65,15,65,Louisiana Fiery Hot Pepper Sauce,2,2,32 - 8 oz bottles,21.05,2,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings"
9,10251,22,6,22,Gustaf's Knäckebröd,9,5,24 - 500 g pkgs.,21.0,5,Grains/Cereals,"Breads, crackers, pasta, and cereal"
10,10251,57,15,57,Ravioli Angelo,26,5,24 - 250 g pkgs.,19.5,5,Grains/Cereals,"Breads, crackers, pasta, and cereal"
11,10251,65,20,65,Louisiana Fiery Hot Pepper Sauce,2,2,32 - 8 oz bottles,21.05,2,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings"
12,10252,20,40,20,Sir Rodney's Marmalade,8,3,30 gift boxes,81.0,3,Confections,"Desserts, candies, and sweet breads"
13,10252,33,25,33,Geitost,15,4,500 g,2.5,4,Dairy Products,Cheeses
14,10252,60,40,60,Camembert Pierrot,28,4,15 - 300 g rounds,34.0,4,Dairy Products,Cheeses
15,10253,31,20,31,Gorgonzola Telino,14,4,12 - 100 g pkgs,12.5,4,Dairy Products,Cheeses
16,10253,39,42,39,Chartreuse verte,18,1,750 cc per bottle,18.0,1,Beverages,"Soft drinks, coffees, teas, beers, and ales"
17,10253,49,40,49,Maxilaku,23,3,24 - 50 g pkgs.,20.0,3,Confections,"Desserts, candies, and sweet breads"
18,10254,24,15,24,Guaraná Fantástica,10,1,12 - 355 ml cans,4.5,1,Beverages,"Soft drinks, coffees, teas, beers, and ales"
19,10254,55,21,55,Pâté chinois,25,6,24 boxes x 2 pies,24.0,6,Meat/Poultry,Prepared meats
20,10254,74,21,74,Longlife Tofu,4,7,5 kg pkg.,10.0,7,Produce,Dried fruit and bean curd
21,10255,2,20,2,Chang,1,1,24 - 12 oz bottles,19.0,1,Beverages,"Soft drinks, coffees, teas, beers, and ales"
22,10255,16,35,16,Pavlova,7,3,32 - 500 g boxes,17.45,3,Confections,"Desserts, candies, and sweet breads"
23,10255,36,25,36,Inlagd Sill,17,8,24 - 250 g jars,19.0,8,Seafood,Seaweed and fish
24,10255,59,30,59,Raclette Courdavault,28,4,5 kg pkg.,55.0,4,Dairy Products,Cheeses
25,10256,53,15,53,Perth Pasties,24,6,48 pieces,32.8,6,Meat/Poultry,Prepared meats
26,10256,77,12,77,Original Frankfurter grüne Soße,12,2,12 boxes,13.0,2,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings"
27,10257,27,25,27,Schoggi Schokolade,11,3,100 - 100 g pieces,43.9,3,Confections,"Desserts, candies, and sweet breads"
28,10257,39,6,39,Chartreuse verte,18,1,750 cc per bottle,18.0,1,Beverages,"Soft drinks, coffees, teas, beers, and ales"
29,10257,77,15,77,Original Frankfurter grüne Soße,12,2,12 boxes,13.0,2,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings"
30,10258,2,50,2,Chang,1,1,24 - 12 oz bottles,19.0,1,Beverages,"Soft drinks, coffees, teas, beers, and ales"
31,10258,5,65,5,Chef Anton's Gumbo Mix,2,2,36 boxes,21.35,2,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings"
32,10258,32,6,32,Mascarpone Fabioli,14,4,24 - 200 g pkgs.,32.0,4,Dairy Products,Cheeses
33,10259,21,10,21,Sir Rodney's Scones,8,3,24 pkgs. x 4 pieces,10.0,3,Confections,"Desserts, candies, and sweet breads"
34,10259,37,1,37,Gravad lax,17,8,12 - 500 g pkgs.,26.0,8,Seafood,Seaweed and fish
35,10260,41,16,41,Jack's New England Clam Chowder,19,8,12 - 12 oz cans,9.65,8,Seafood,Seaweed and fish
36,10260,57,50,57,Ravioli Angelo,26,5,24 - 250 g pkgs.,19.5,5,Grains/Cereals,"Breads, crackers, pasta, and cereal"
37,10260,62,15,62,Tarte au sucre,29,3,48 pies,49.3,3,Confections,"Desserts, candies, and sweet breads"
38,10260,70,21,70,Outback Lager,7,1,24 - 355 ml bottles,15.0,1,Beverages,"Soft drinks, coffees, teas, beers, and ales"
39,10261,21,20,21,Sir Rodney's Scones,8,3,24 pkgs. x 4 pieces,10.0,3,Confections,"Desserts, candies, and sweet breads"
40,10261,35,20,35,Steeleye Stout,16,1,24 - 12 oz bottles,18.0,1,Beverages,"Soft drinks, coffees, teas, beers, and ales"
41,10262,5,12,5,Chef Anton's Gumbo Mix,2,2,36 boxes,21.35,2,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings"
42,10262,7,15,7,Uncle Bob's Organic Dried Pears,3,7,12 - 1 lb pkgs.,30.0,7,Produce,Dried fruit and bean curd
43,10262,56,2,56,Gnocchi di nonna Alice,26,5,24 - 250 g pkgs.,38.0,5,Grains/Cereals,"Breads, crackers, pasta, and cereal"
44,10263,16,60,16,Pavlova,7,3,32 - 500 g boxes,17.45,3,Confections,"Desserts, candies, and sweet breads"
45,10263,24,28,24,Guaraná Fantástica,10,1,12 - 355 ml cans,4.5,1,Beverages,"Soft drinks, coffees, teas, beers, and ales"
46,10263,30,60,30,Nord-Ost Matjeshering,13,8,10 - 200 g glasses,25.89,8,Seafood,Seaweed and fish
47,10263,74,36,74,Longlife Tofu,4,7,5 kg pkg.,10.0,7,Produce,Dried fruit and bean curd
